miRNA,disease,preScore
hsa-mir-513a-1,Ovarian Neoplasms,0.5426
hsa-mir-376a-2,Ovarian Neoplasms,0.5375
hsa-mir-513a-2,Ovarian Neoplasms,0.5353
hsa-mir-519c,Ovarian Neoplasms,0.5319
hsa-mir-369,Ovarian Neoplasms,0.5302
hsa-mir-601,Ovarian Neoplasms,0.5297
hsa-mir-636,Ovarian Neoplasms,0.5277
hsa-mir-384,Ovarian Neoplasms,0.527
hsa-mir-561,Ovarian Neoplasms,0.5257
hsa-mir-501,Ovarian Neoplasms,0.5242
hsa-mir-603,Ovarian Neoplasms,0.5239
hsa-mir-760,Ovarian Neoplasms,0.5236
hsa-mir-525,Ovarian Neoplasms,0.5235
hsa-mir-1228,Ovarian Neoplasms,0.5232
hsa-mir-508,Ovarian Neoplasms,0.5195
hsa-mir-766,Ovarian Neoplasms,0.5188
hsa-mir-661,Ovarian Neoplasms,0.5186
hsa-mir-608,Ovarian Neoplasms,0.5179
hsa-mir-1247,Ovarian Neoplasms,0.5158
hsa-mir-942,Ovarian Neoplasms,0.5143
hsa-mir-612,Ovarian Neoplasms,0.5135
hsa-mir-518e,Ovarian Neoplasms,0.5126
hsa-mir-376a-1,Ovarian Neoplasms,0.5125
hsa-mir-758,Ovarian Neoplasms,0.5107
hsa-mir-575,Ovarian Neoplasms,0.5087
hsa-mir-513c,Ovarian Neoplasms,0.5085
hsa-mir-616,Ovarian Neoplasms,0.5084
hsa-mir-765,Ovarian Neoplasms,0.5074
hsa-mir-582,Ovarian Neoplasms,0.5068
hsa-mir-637,Ovarian Neoplasms,0.5018
hsa-mir-103b-1,Ovarian Neoplasms,0.4998
hsa-mir-522,Ovarian Neoplasms,0.4981
hsa-mir-627,Ovarian Neoplasms,0.4941
hsa-mir-1303,Ovarian Neoplasms,0.4911
hsa-mir-576,Ovarian Neoplasms,0.49
hsa-mir-939,Ovarian Neoplasms,0.4894
hsa-mir-1275,Ovarian Neoplasms,0.4866
hsa-mir-510,Ovarian Neoplasms,0.4851
hsa-mir-298,Ovarian Neoplasms,0.4824
hsa-mir-378f,Ovarian Neoplasms,0.4819
hsa-mir-323b,Ovarian Neoplasms,0.4814
hsa-mir-378b,Ovarian Neoplasms,0.4808
hsa-mir-297,Ovarian Neoplasms,0.4807
hsa-mir-1236,Ovarian Neoplasms,0.4779
hsa-mir-660,Ovarian Neoplasms,0.477
hsa-mir-378g,Ovarian Neoplasms,0.4768
hsa-mir-302f,Ovarian Neoplasms,0.4753
hsa-mir-153-1,Ovarian Neoplasms,0.4689
hsa-mir-639,Ovarian Neoplasms,0.4663
hsa-mir-378e,Ovarian Neoplasms,0.4601
hsa-mir-573,Ovarian Neoplasms,0.4592
hsa-mir-1225,Ovarian Neoplasms,0.458
hsa-mir-1908,Ovarian Neoplasms,0.4574
hsa-mir-579,Ovarian Neoplasms,0.454
hsa-mir-610,Ovarian Neoplasms,0.4513
hsa-mir-595,Ovarian Neoplasms,0.4491
hsa-mir-511,Ovarian Neoplasms,0.446
hsa-mir-519e,Ovarian Neoplasms,0.4439
hsa-mir-320c-2,Ovarian Neoplasms,0.4435
hsa-mir-103b-2,Ovarian Neoplasms,0.4429
hsa-mir-761,Ovarian Neoplasms,0.442
hsa-mir-4732,Ovarian Neoplasms,0.4418
hsa-mir-1296,Ovarian Neoplasms,0.4414
hsa-mir-147a,Ovarian Neoplasms,0.4397
hsa-mir-598,Ovarian Neoplasms,0.4394
hsa-mir-550a-1,Ovarian Neoplasms,0.4385
hsa-mir-492,Ovarian Neoplasms,0.4384
hsa-mir-589,Ovarian Neoplasms,0.4379
hsa-mir-572,Ovarian Neoplasms,0.4372
hsa-mir-888,Ovarian Neoplasms,0.437
hsa-mir-378d-2,Ovarian Neoplasms,0.434
hsa-mir-593,Ovarian Neoplasms,0.4323
hsa-mir-1287,Ovarian Neoplasms,0.4314
hsa-mir-378h,Ovarian Neoplasms,0.4301
hsa-mir-4317,Ovarian Neoplasms,0.4274
hsa-mir-518b,Ovarian Neoplasms,0.4274
hsa-mir-320c-1,Ovarian Neoplasms,0.4268
hsa-mir-657,Ovarian Neoplasms,0.4261
hsa-mir-520f,Ovarian Neoplasms,0.426
hsa-mir-618,Ovarian Neoplasms,0.4253
hsa-mir-615,Ovarian Neoplasms,0.4208
hsa-mir-605,Ovarian Neoplasms,0.4202
hsa-mir-663b,Ovarian Neoplasms,0.419
hsa-mir-302e,Ovarian Neoplasms,0.4185
hsa-mir-557,Ovarian Neoplasms,0.4173
hsa-mir-320b-1,Ovarian Neoplasms,0.4173
hsa-mir-4306,Ovarian Neoplasms,0.4149
hsa-mir-1269a,Ovarian Neoplasms,0.414
hsa-mir-1231,Ovarian Neoplasms,0.4132
hsa-mir-378d-1,Ovarian Neoplasms,0.4131
hsa-mir-1301,Ovarian Neoplasms,0.413
hsa-mir-378i,Ovarian Neoplasms,0.4127
hsa-mir-378c,Ovarian Neoplasms,0.4116
hsa-mir-655,Ovarian Neoplasms,0.4112
hsa-mir-1260a,Ovarian Neoplasms,0.4107
hsa-mir-767,Ovarian Neoplasms,0.4103
hsa-mir-4728,Ovarian Neoplasms,0.4086
hsa-mir-507,Ovarian Neoplasms,0.4071
hsa-mir-519b,Ovarian Neoplasms,0.4062
hsa-mir-551b,Ovarian Neoplasms,0.4043
hsa-mir-602,Ovarian Neoplasms,0.404
hsa-mir-516b-2,Ovarian Neoplasms,0.4019
hsa-mir-1266,Ovarian Neoplasms,0.4006
hsa-mir-550a-2,Ovarian Neoplasms,0.3973
hsa-mir-1180,Ovarian Neoplasms,0.3952
hsa-mir-577,Ovarian Neoplasms,0.3951
hsa-mir-2110,Ovarian Neoplasms,0.3948
hsa-mir-552,Ovarian Neoplasms,0.3941
hsa-mir-922,Ovarian Neoplasms,0.3938
hsa-mir-769,Ovarian Neoplasms,0.3937
hsa-mir-1226,Ovarian Neoplasms,0.3936
hsa-mir-1227,Ovarian Neoplasms,0.3935
hsa-mir-512-2,Ovarian Neoplasms,0.3934
hsa-mir-519a-1,Ovarian Neoplasms,0.3931
hsa-mir-1291,Ovarian Neoplasms,0.3929
hsa-mir-944,Ovarian Neoplasms,0.3919
hsa-mir-23c,Ovarian Neoplasms,0.3902
hsa-mir-3189,Ovarian Neoplasms,0.3901
hsa-mir-571,Ovarian Neoplasms,0.39
hsa-mir-4739,Ovarian Neoplasms,0.388
hsa-mir-512-1,Ovarian Neoplasms,0.3869
hsa-mir-516b-1,Ovarian Neoplasms,0.3858
hsa-mir-515-1,Ovarian Neoplasms,0.3837
hsa-mir-1260b,Ovarian Neoplasms,0.3826
hsa-mir-376b,Ovarian Neoplasms,0.3824
hsa-mir-3151,Ovarian Neoplasms,0.3822
hsa-mir-645,Ovarian Neoplasms,0.3813
hsa-mir-564,Ovarian Neoplasms,0.379
hsa-mir-3178,Ovarian Neoplasms,0.3785
hsa-mir-2861,Ovarian Neoplasms,0.3772
hsa-mir-523,Ovarian Neoplasms,0.3769
hsa-mir-1915,Ovarian Neoplasms,0.3754
hsa-mir-450b,Ovarian Neoplasms,0.3746
hsa-mir-3144,Ovarian Neoplasms,0.3731
hsa-mir-1288,Ovarian Neoplasms,0.3727
hsa-mir-518c,Ovarian Neoplasms,0.3724
hsa-mir-544a,Ovarian Neoplasms,0.371
hsa-mir-509-3,Ovarian Neoplasms,0.3706
hsa-mir-320b-2,Ovarian Neoplasms,0.367
hsa-mir-604,Ovarian Neoplasms,0.3667
hsa-mir-320e,Ovarian Neoplasms,0.3656
hsa-mir-515-2,Ovarian Neoplasms,0.3648
hsa-mir-1179,Ovarian Neoplasms,0.3644
hsa-mir-599,Ovarian Neoplasms,0.3621
hsa-mir-4286,Ovarian Neoplasms,0.3618
hsa-mir-935,Ovarian Neoplasms,0.361
hsa-mir-3200,Ovarian Neoplasms,0.3603
hsa-mir-7702,Ovarian Neoplasms,0.3596
hsa-mir-541,Ovarian Neoplasms,0.3594
hsa-mir-4697,Ovarian Neoplasms,0.3579
hsa-mir-624,Ovarian Neoplasms,0.3577
hsa-mir-3622b,Ovarian Neoplasms,0.3562
hsa-mir-5100,Ovarian Neoplasms,0.3551
hsa-mir-548d-1,Ovarian Neoplasms,0.353
hsa-mir-4319,Ovarian Neoplasms,0.3514
hsa-mir-3162,Ovarian Neoplasms,0.3472
hsa-mir-527,Ovarian Neoplasms,0.3471
hsa-mir-5010,Ovarian Neoplasms,0.3467
hsa-mir-499b,Ovarian Neoplasms,0.3462
hsa-mir-450a-2,Ovarian Neoplasms,0.3461
hsa-mir-4644,Ovarian Neoplasms,0.3441
hsa-mir-514b,Ovarian Neoplasms,0.344
hsa-mir-635,Ovarian Neoplasms,0.3434
hsa-mir-802,Ovarian Neoplasms,0.3432
hsa-mir-1238,Ovarian Neoplasms,0.343
hsa-mir-4262,Ovarian Neoplasms,0.342
hsa-mir-6852,Ovarian Neoplasms,0.3411
hsa-mir-1249,Ovarian Neoplasms,0.3405
hsa-mir-3619,Ovarian Neoplasms,0.3404
hsa-mir-938,Ovarian Neoplasms,0.3398
hsa-mir-892b,Ovarian Neoplasms,0.3392
hsa-mir-4695,Ovarian Neoplasms,0.3391
hsa-mir-4775,Ovarian Neoplasms,0.338
hsa-mir-877,Ovarian Neoplasms,0.3377
hsa-mir-509-2,Ovarian Neoplasms,0.3371
hsa-mir-320d-1,Ovarian Neoplasms,0.3364
hsa-mir-509-1,Ovarian Neoplasms,0.3364
hsa-mir-600,Ovarian Neoplasms,0.3361
hsa-mir-654,Ovarian Neoplasms,0.3358
hsa-mir-4521,Ovarian Neoplasms,0.3355
hsa-mir-1229,Ovarian Neoplasms,0.3351
hsa-mir-1248,Ovarian Neoplasms,0.3349
hsa-mir-3127,Ovarian Neoplasms,0.3348
hsa-mir-3182,Ovarian Neoplasms,0.3346
hsa-mir-876,Ovarian Neoplasms,0.3324
hsa-mir-3126,Ovarian Neoplasms,0.3321
hsa-mir-1234,Ovarian Neoplasms,0.331
hsa-mir-449c,Ovarian Neoplasms,0.3303
hsa-mir-5582,Ovarian Neoplasms,0.3295
hsa-mir-631,Ovarian Neoplasms,0.3293
hsa-mir-450a-1,Ovarian Neoplasms,0.3284
hsa-mir-551a,Ovarian Neoplasms,0.3273
hsa-mir-550a-3,Ovarian Neoplasms,0.3269
hsa-mir-2355,Ovarian Neoplasms,0.3233
hsa-mir-4455,Ovarian Neoplasms,0.322
hsa-mir-544b,Ovarian Neoplasms,0.3216
hsa-mir-548d-2,Ovarian Neoplasms,0.321
hsa-mir-1306,Ovarian Neoplasms,0.3207
hsa-mir-6826,Ovarian Neoplasms,0.3199
hsa-mir-519a-2,Ovarian Neoplasms,0.3199
hsa-mir-451b,Ovarian Neoplasms,0.3196
hsa-mir-621,Ovarian Neoplasms,0.3194
hsa-mir-3148,Ovarian Neoplasms,0.319
hsa-mir-496,Ovarian Neoplasms,0.318
hsa-mir-4634,Ovarian Neoplasms,0.3179
hsa-mir-1292,Ovarian Neoplasms,0.3177
hsa-mir-517c,Ovarian Neoplasms,0.3163
hsa-mir-651,Ovarian Neoplasms,0.3161
hsa-mir-4326,Ovarian Neoplasms,0.3152
hsa-mir-1182,Ovarian Neoplasms,0.3149
hsa-mir-556,Ovarian Neoplasms,0.3141
hsa-mir-4466,Ovarian Neoplasms,0.3139
hsa-mir-548j,Ovarian Neoplasms,0.3127
hsa-mir-466,Ovarian Neoplasms,0.312
hsa-mir-3149,Ovarian Neoplasms,0.3114
hsa-mir-4518,Ovarian Neoplasms,0.3102
hsa-mir-1914,Ovarian Neoplasms,0.3089
hsa-mir-4731,Ovarian Neoplasms,0.3083
hsa-mir-640,Ovarian Neoplasms,0.3075
hsa-mir-371b,Ovarian Neoplasms,0.3069
hsa-mir-578,Ovarian Neoplasms,0.3067
hsa-mir-514a-2,Ovarian Neoplasms,0.3059
hsa-mir-1973,Ovarian Neoplasms,0.3059
hsa-mir-4257,Ovarian Neoplasms,0.3058
hsa-mir-3654,Ovarian Neoplasms,0.3058
hsa-mir-656,Ovarian Neoplasms,0.305
hsa-mir-1267,Ovarian Neoplasms,0.3048
hsa-mir-567,Ovarian Neoplasms,0.304
hsa-mir-518f,Ovarian Neoplasms,0.3029
hsa-mir-558,Ovarian Neoplasms,0.3029
hsa-mir-320d-2,Ovarian Neoplasms,0.3025
hsa-mir-3677,Ovarian Neoplasms,0.3012
hsa-mir-1256,Ovarian Neoplasms,0.301
hsa-mir-3666,Ovarian Neoplasms,0.3009
hsa-mir-1178,Ovarian Neoplasms,0.3005
hsa-mir-1185-1,Ovarian Neoplasms,0.2999
hsa-mir-4782,Ovarian Neoplasms,0.2989
hsa-mir-632,Ovarian Neoplasms,0.2988
hsa-mir-5590,Ovarian Neoplasms,0.2985
hsa-mir-4449,Ovarian Neoplasms,0.2984
hsa-mir-1471,Ovarian Neoplasms,0.2978
hsa-mir-3658,Ovarian Neoplasms,0.2971
hsa-mir-1284,Ovarian Neoplasms,0.2958
hsa-mir-606,Ovarian Neoplasms,0.2951
hsa-mir-412,Ovarian Neoplasms,0.2948
hsa-mir-2682,Ovarian Neoplasms,0.2947
hsa-mir-6124,Ovarian Neoplasms,0.2943
hsa-mir-648,Ovarian Neoplasms,0.2939
hsa-mir-548t,Ovarian Neoplasms,0.2939
hsa-mir-1268a,Ovarian Neoplasms,0.2939
hsa-mir-1298,Ovarian Neoplasms,0.2936
hsa-mir-105-1,Ovarian Neoplasms,0.2929
hsa-mir-6780b,Ovarian Neoplasms,0.292
hsa-mir-586,Ovarian Neoplasms,0.2919
hsa-mir-4291,Ovarian Neoplasms,0.2917
hsa-mir-3177,Ovarian Neoplasms,0.2907
hsa-mir-658,Ovarian Neoplasms,0.2906
hsa-mir-5003,Ovarian Neoplasms,0.2904
hsa-mir-6831,Ovarian Neoplasms,0.2899
hsa-mir-6875,Ovarian Neoplasms,0.2889
hsa-mir-668,Ovarian Neoplasms,0.2887
hsa-mir-3171,Ovarian Neoplasms,0.2886
hsa-mir-4302,Ovarian Neoplasms,0.2883
hsa-mir-500b,Ovarian Neoplasms,0.2864
hsa-mir-4530,Ovarian Neoplasms,0.2862
hsa-mir-4282,Ovarian Neoplasms,0.2852
hsa-mir-889,Ovarian Neoplasms,0.2846
hsa-mir-5004,Ovarian Neoplasms,0.2842
hsa-mir-587,Ovarian Neoplasms,0.2838
hsa-mir-3940,Ovarian Neoplasms,0.2833
hsa-mir-514a-3,Ovarian Neoplasms,0.2819
hsa-mir-2278,Ovarian Neoplasms,0.2819
hsa-mir-1273c,Ovarian Neoplasms,0.2818
hsa-mir-4443,Ovarian Neoplasms,0.2814
hsa-mir-518d,Ovarian Neoplasms,0.2812
hsa-mir-1323,Ovarian Neoplasms,0.2812
hsa-mir-4258,Ovarian Neoplasms,0.281
hsa-mir-7107,Ovarian Neoplasms,0.2803
hsa-mir-568,Ovarian Neoplasms,0.2793
hsa-mir-4295,Ovarian Neoplasms,0.2788
hsa-mir-3646,Ovarian Neoplasms,0.2774
hsa-mir-4469,Ovarian Neoplasms,0.2773
hsa-mir-6853,Ovarian Neoplasms,0.2771
hsa-mir-6126,Ovarian Neoplasms,0.2766
hsa-mir-105-2,Ovarian Neoplasms,0.2763
hsa-mir-4516,Ovarian Neoplasms,0.276
hsa-mir-1245a,Ovarian Neoplasms,0.2753
hsa-mir-1538,Ovarian Neoplasms,0.2746
hsa-mir-764,Ovarian Neoplasms,0.2744
hsa-mir-3065,Ovarian Neoplasms,0.2738
hsa-mir-4270,Ovarian Neoplasms,0.2736
hsa-mir-4746,Ovarian Neoplasms,0.2727
hsa-mir-617,Ovarian Neoplasms,0.2721
hsa-mir-4496,Ovarian Neoplasms,0.2721
hsa-mir-1305,Ovarian Neoplasms,0.2719
hsa-mir-644a,Ovarian Neoplasms,0.2719
hsa-mir-4281,Ovarian Neoplasms,0.2717
hsa-mir-4293,Ovarian Neoplasms,0.271
hsa-mir-3130-2,Ovarian Neoplasms,0.2708
hsa-mir-3186,Ovarian Neoplasms,0.2706
hsa-mir-1468,Ovarian Neoplasms,0.2702
hsa-mir-3923,Ovarian Neoplasms,0.2699
hsa-mir-514a-1,Ovarian Neoplasms,0.2697
hsa-mir-3175,Ovarian Neoplasms,0.2697
hsa-mir-3915,Ovarian Neoplasms,0.2694
hsa-mir-4298,Ovarian Neoplasms,0.2692
hsa-mir-1282,Ovarian Neoplasms,0.2687
hsa-mir-711,Ovarian Neoplasms,0.2681
hsa-mir-1233-1,Ovarian Neoplasms,0.267
hsa-mir-1233-2,Ovarian Neoplasms,0.2667
hsa-mir-1294,Ovarian Neoplasms,0.2657
hsa-mir-585,Ovarian Neoplasms,0.2652
hsa-mir-581,Ovarian Neoplasms,0.2651
hsa-mir-943,Ovarian Neoplasms,0.2651
hsa-mir-1827,Ovarian Neoplasms,0.2651
hsa-mir-3130-1,Ovarian Neoplasms,0.2651
hsa-mir-329-1,Ovarian Neoplasms,0.2643
hsa-mir-518a-2,Ovarian Neoplasms,0.264
hsa-mir-7847,Ovarian Neoplasms,0.2635
hsa-mir-659,Ovarian Neoplasms,0.263
hsa-mir-2116,Ovarian Neoplasms,0.2627
hsa-mir-770,Ovarian Neoplasms,0.2604
hsa-mir-1295b,Ovarian Neoplasms,0.2598
hsa-mir-4478,Ovarian Neoplasms,0.2595
hsa-mir-3908,Ovarian Neoplasms,0.2595
hsa-mir-921,Ovarian Neoplasms,0.2594
hsa-mir-3163,Ovarian Neoplasms,0.2593
hsa-mir-4706,Ovarian Neoplasms,0.259
hsa-mir-518a-1,Ovarian Neoplasms,0.2584
hsa-mir-664a,Ovarian Neoplasms,0.2578
hsa-mir-3074,Ovarian Neoplasms,0.2578
hsa-mir-4423,Ovarian Neoplasms,0.2577
hsa-mir-329-2,Ovarian Neoplasms,0.2569
hsa-mir-562,Ovarian Neoplasms,0.2565
hsa-mir-4534,Ovarian Neoplasms,0.2565
hsa-mir-1245b,Ovarian Neoplasms,0.2563
hsa-mir-620,Ovarian Neoplasms,0.2549
hsa-mir-3176,Ovarian Neoplasms,0.2548
hsa-mir-6867,Ovarian Neoplasms,0.2535
hsa-mir-1304,Ovarian Neoplasms,0.2534
hsa-mir-3131,Ovarian Neoplasms,0.2534
hsa-mir-3663,Ovarian Neoplasms,0.2533
hsa-mir-4487,Ovarian Neoplasms,0.2531
hsa-mir-6861,Ovarian Neoplasms,0.2531
hsa-mir-4736,Ovarian Neoplasms,0.253
hsa-mir-4324,Ovarian Neoplasms,0.2526
hsa-mir-1469,Ovarian Neoplasms,0.252
hsa-mir-4284,Ovarian Neoplasms,0.2512
hsa-mir-4301,Ovarian Neoplasms,0.2509
hsa-mir-548b,Ovarian Neoplasms,0.2497
hsa-mir-662,Ovarian Neoplasms,0.2495
hsa-mir-762,Ovarian Neoplasms,0.2487
hsa-mir-3117,Ovarian Neoplasms,0.2487
hsa-mir-3667,Ovarian Neoplasms,0.2483
hsa-mir-569,Ovarian Neoplasms,0.2479
hsa-mir-3196,Ovarian Neoplasms,0.2475
hsa-mir-4458,Ovarian Neoplasms,0.2471
hsa-mir-2909,Ovarian Neoplasms,0.2469
hsa-mir-4764,Ovarian Neoplasms,0.2465
hsa-mir-920,Ovarian Neoplasms,0.2442
hsa-mir-1268b,Ovarian Neoplasms,0.2441
hsa-mir-3662,Ovarian Neoplasms,0.2417
hsa-mir-1206,Ovarian Neoplasms,0.2415
hsa-mir-1253,Ovarian Neoplasms,0.2408
hsa-mir-1343,Ovarian Neoplasms,0.2407
hsa-mir-3120,Ovarian Neoplasms,0.2404
hsa-mir-641,Ovarian Neoplasms,0.2399
hsa-mir-6798,Ovarian Neoplasms,0.2387
hsa-mir-1285-2,Ovarian Neoplasms,0.2383
hsa-mir-6086,Ovarian Neoplasms,0.237
hsa-mir-626,Ovarian Neoplasms,0.2365
hsa-mir-3201,Ovarian Neoplasms,0.2358
hsa-mir-7161,Ovarian Neoplasms,0.2352
hsa-mir-1322,Ovarian Neoplasms,0.2351
hsa-mir-4666a,Ovarian Neoplasms,0.2349
hsa-mir-642b,Ovarian Neoplasms,0.2342
hsa-mir-3976,Ovarian Neoplasms,0.2342
hsa-mir-3651,Ovarian Neoplasms,0.2338
hsa-mir-4633,Ovarian Neoplasms,0.2338
hsa-mir-614,Ovarian Neoplasms,0.2328
hsa-mir-3664,Ovarian Neoplasms,0.2328
hsa-mir-517b,Ovarian Neoplasms,0.2324
hsa-mir-4661,Ovarian Neoplasms,0.2323
hsa-mir-3179-3,Ovarian Neoplasms,0.2306
hsa-mir-5699,Ovarian Neoplasms,0.2305
hsa-mir-5189,Ovarian Neoplasms,0.2304
hsa-mir-7706,Ovarian Neoplasms,0.2304
hsa-mir-6869,Ovarian Neoplasms,0.2303
hsa-mir-1261,Ovarian Neoplasms,0.2303
hsa-mir-521-2,Ovarian Neoplasms,0.2301
hsa-mir-664b,Ovarian Neoplasms,0.23
hsa-mir-4467,Ovarian Neoplasms,0.2296
hsa-mir-1270,Ovarian Neoplasms,0.2292
hsa-mir-1264,Ovarian Neoplasms,0.2291
hsa-mir-875,Ovarian Neoplasms,0.2272
hsa-mir-583,Ovarian Neoplasms,0.227
hsa-mir-4489,Ovarian Neoplasms,0.2251
hsa-mir-548ac,Ovarian Neoplasms,0.2239
hsa-mir-548l,Ovarian Neoplasms,0.2239
hsa-mir-5193,Ovarian Neoplasms,0.2236
hsa-mir-3614,Ovarian Neoplasms,0.2231
hsa-mir-487a,Ovarian Neoplasms,0.2228
hsa-mir-3157,Ovarian Neoplasms,0.2227
hsa-mir-611,Ovarian Neoplasms,0.2221
hsa-mir-3179-2,Ovarian Neoplasms,0.2221
hsa-mir-4772,Ovarian Neoplasms,0.2217
hsa-mir-6088,Ovarian Neoplasms,0.221
hsa-mir-670,Ovarian Neoplasms,0.2208
hsa-mir-1277,Ovarian Neoplasms,0.2207
hsa-mir-4723,Ovarian Neoplasms,0.2199
hsa-mir-521-1,Ovarian Neoplasms,0.2197
hsa-mir-643,Ovarian Neoplasms,0.2191
hsa-mir-619,Ovarian Neoplasms,0.219
hsa-mir-4500,Ovarian Neoplasms,0.218
hsa-mir-1910,Ovarian Neoplasms,0.2174
hsa-mir-3682,Ovarian Neoplasms,0.217
hsa-mir-4463,Ovarian Neoplasms,0.2166
hsa-mir-3622a,Ovarian Neoplasms,0.216
hsa-mir-4505,Ovarian Neoplasms,0.2159
hsa-mir-3135b,Ovarian Neoplasms,0.2148
hsa-mir-3142,Ovarian Neoplasms,0.2141
hsa-mir-6133,Ovarian Neoplasms,0.2128
hsa-mir-1285-1,Ovarian Neoplasms,0.2112
hsa-mir-3928,Ovarian Neoplasms,0.2097
hsa-mir-4290,Ovarian Neoplasms,0.2094
hsa-mir-4268,Ovarian Neoplasms,0.2093
hsa-mir-6729,Ovarian Neoplasms,0.2092
hsa-mir-1184-1,Ovarian Neoplasms,0.2076
hsa-mir-4717,Ovarian Neoplasms,0.2069
hsa-mir-6836,Ovarian Neoplasms,0.2065
hsa-mir-5586,Ovarian Neoplasms,0.2043
hsa-mir-4778,Ovarian Neoplasms,0.2038
hsa-mir-1255a,Ovarian Neoplasms,0.2038
hsa-mir-6838,Ovarian Neoplasms,0.202
hsa-mir-1302-8,Ovarian Neoplasms,0.2019
hsa-mir-633,Ovarian Neoplasms,0.2015
hsa-mir-4447,Ovarian Neoplasms,0.2013
hsa-mir-4310,Ovarian Neoplasms,0.201
hsa-mir-1293,Ovarian Neoplasms,0.1997
hsa-mir-5091,Ovarian Neoplasms,0.1988
hsa-mir-3925,Ovarian Neoplasms,0.1983
hsa-mir-649,Ovarian Neoplasms,0.1935
hsa-mir-596,Ovarian Neoplasms,0.1924
hsa-mir-4448,Ovarian Neoplasms,0.1922
hsa-mir-3195,Ovarian Neoplasms,0.1904
hsa-mir-4701,Ovarian Neoplasms,0.1903
hsa-mir-4294,Ovarian Neoplasms,0.1898
hsa-mir-4279,Ovarian Neoplasms,0.1897
hsa-mir-374c,Ovarian Neoplasms,0.1895
hsa-mir-1302-6,Ovarian Neoplasms,0.1893
hsa-mir-8084,Ovarian Neoplasms,0.1892
hsa-mir-6068,Ovarian Neoplasms,0.188
hsa-mir-3714,Ovarian Neoplasms,0.1871
hsa-mir-4490,Ovarian Neoplasms,0.1869
hsa-mir-4687,Ovarian Neoplasms,0.1869
hsa-mir-3179-1,Ovarian Neoplasms,0.1867
hsa-mir-1237,Ovarian Neoplasms,0.1863
hsa-mir-3611,Ovarian Neoplasms,0.1855
hsa-mir-6799,Ovarian Neoplasms,0.185
hsa-mir-1302-5,Ovarian Neoplasms,0.1847
hsa-mir-891a,Ovarian Neoplasms,0.1846
hsa-mir-1976,Ovarian Neoplasms,0.1838
hsa-mir-4271,Ovarian Neoplasms,0.183
hsa-mir-9500,Ovarian Neoplasms,0.1821
hsa-mir-1302-1,Ovarian Neoplasms,0.1819
hsa-mir-941-4,Ovarian Neoplasms,0.1812
hsa-mir-6873,Ovarian Neoplasms,0.1809
hsa-mir-550b-1,Ovarian Neoplasms,0.1791
hsa-mir-3610,Ovarian Neoplasms,0.1785
hsa-mir-6880,Ovarian Neoplasms,0.1777
hsa-mir-6508,Ovarian Neoplasms,0.1755
hsa-mir-4513,Ovarian Neoplasms,0.173
hsa-mir-1972-1,Ovarian Neoplasms,0.1726
hsa-mir-4511,Ovarian Neoplasms,0.1723
hsa-mir-6069,Ovarian Neoplasms,0.1697
hsa-mir-550b-2,Ovarian Neoplasms,0.1697
hsa-mir-4446,Ovarian Neoplasms,0.1689
hsa-mir-4480,Ovarian Neoplasms,0.1686
hsa-mir-4709,Ovarian Neoplasms,0.1684
hsa-mir-1302-3,Ovarian Neoplasms,0.1681
hsa-mir-3945,Ovarian Neoplasms,0.1643
hsa-mir-1324,Ovarian Neoplasms,0.1636
hsa-mir-941-3,Ovarian Neoplasms,0.1627
hsa-mir-1302-7,Ovarian Neoplasms,0.1625
hsa-mir-1183,Ovarian Neoplasms,0.1611
hsa-mir-1295a,Ovarian Neoplasms,0.1608
hsa-mir-1302-4,Ovarian Neoplasms,0.1595
hsa-mir-4476,Ovarian Neoplasms,0.1579
hsa-mir-3686,Ovarian Neoplasms,0.1575
hsa-mir-1909,Ovarian Neoplasms,0.1544
hsa-mir-1276,Ovarian Neoplasms,0.1523
hsa-mir-6721,Ovarian Neoplasms,0.1513
hsa-mir-4488,Ovarian Neoplasms,0.15
hsa-mir-3138,Ovarian Neoplasms,0.1497
hsa-mir-1302-2,Ovarian Neoplasms,0.1494
hsa-mir-3185,Ovarian Neoplasms,0.1486
hsa-mir-555,Ovarian Neoplasms,0.1486
hsa-mir-3620,Ovarian Neoplasms,0.148
hsa-mir-934,Ovarian Neoplasms,0.147
hsa-mir-4793,Ovarian Neoplasms,0.1452
hsa-mir-4721,Ovarian Neoplasms,0.1446
hsa-mir-4508,Ovarian Neoplasms,0.1431
hsa-mir-4429,Ovarian Neoplasms,0.1425
hsa-mir-4436b-1,Ovarian Neoplasms,0.1405
hsa-mir-548a-3,Ovarian Neoplasms,0.1399
hsa-mir-6075,Ovarian Neoplasms,0.1388
hsa-mir-4436b-2,Ovarian Neoplasms,0.1383
hsa-mir-548a-1,Ovarian Neoplasms,0.1369
hsa-mir-3161,Ovarian Neoplasms,0.1357
hsa-mir-4753,Ovarian Neoplasms,0.1332
hsa-mir-3909,Ovarian Neoplasms,0.1286
hsa-mir-6886,Ovarian Neoplasms,0.1269
hsa-mir-941-1,Ovarian Neoplasms,0.1228
hsa-mir-4672,Ovarian Neoplasms,0.1208
hsa-mir-548k,Ovarian Neoplasms,0.1168
hsa-mir-4639,Ovarian Neoplasms,0.1149
hsa-mir-548a-2,Ovarian Neoplasms,0.1094
hsa-mir-6720,Ovarian Neoplasms,0.1068
hsa-mir-676,Ovarian Neoplasms,0.0924
