circRNA,disease,preScore
hsa_circ_0050898,Glioblastoma,0.359
hsa_circ_0014243,Glioblastoma,0.3588
hsa_circ_0024892,Glioblastoma,0.3582
hsa_circ_0123996,Glioblastoma,0.3581
hsa_circ_0002532,Glioblastoma,0.3578
hsa_circ_0003594,Glioblastoma,0.3578
circ_0006892,Glioblastoma,0.3577
hsa_circ_0062426,Glioblastoma,0.3577
hsa_circ_0000119,Glioblastoma,0.3568
hsa_circ_0006117,Glioblastoma,0.3566
hsa_circ_0001829,Glioblastoma,0.3563
hsa_circ_0002113,Glioblastoma,0.3561
hsa_circ_001587,Glioblastoma,0.356
hsa_circ_0007059,Glioblastoma,0.3559
hsa_circ_0017545,Glioblastoma,0.3551
hsa_circ_0087215,Glioblastoma,0.3551
hsa_circ_0005622,Glioblastoma,0.355
hsa_circ_0123190,Glioblastoma,0.3549
hsa_circ_0004417,Glioblastoma,0.3549
hsa_circ_0061052,Glioblastoma,0.3547
hsa_circ_0100587,Glioblastoma,0.3543
hsa_circ_0012077,Glioblastoma,0.3542
hsa_circ_0123778,Glioblastoma,0.3538
hsa_circ_0001577,Glioblastoma,0.3537
circ_0115744,Glioblastoma,0.3532
hsa_circ_0012673,Glioblastoma,0.3529
hsa_circ_0002755,Glioblastoma,0.3523
hsa_circ_0089172,Glioblastoma,0.3521
hsa_circ_0015278,Glioblastoma,0.3519
hsa_circ_0003738,Glioblastoma,0.3519
hsa_circ_0124644,Glioblastoma,0.3515
hsa_circ_0080145,Glioblastoma,0.3514
hsa_circ_0017526,Glioblastoma,0.3511
hsa_circ_0000267,Glioblastoma,0.3509
hsa_circ_0075829,Glioblastoma,0.3507
hsa_circ_0000745,Glioblastoma,0.3506
hsa_circ_0133622,Glioblastoma,0.3502
hsa_circ_0002768,Glioblastoma,0.3501
hsa_circ_0091702,Glioblastoma,0.3499
hsa_circ_0028198,Glioblastoma,0.3494
hsa_circ_0017252,Glioblastoma,0.3493
hsa_circ_0000646,Glioblastoma,0.3492
hsa_circ_0002161,Glioblastoma,0.349
hsa_circ_0007915,Glioblastoma,0.3486
hsa_circ_0000064,Glioblastoma,0.3486
hsa_circ_0137814,Glioblastoma,0.3485
hsa_circ_0074362,Glioblastoma,0.3482
hsa_circ_0011946,Glioblastoma,0.348
hsa_circ_0001240,Glioblastoma,0.348
hsa_circ_0088732,Glioblastoma,0.3479
hsa_circ_0000291,Glioblastoma,0.3473
hsa_circ_0023642,Glioblastoma,0.3468
hsa_circ_0006294,Glioblastoma,0.3467
hsa_circ_0000515,Glioblastoma,0.3466
hsa_circ_0070963,Glioblastoma,0.3461
hsa_circ_0000847,Glioblastoma,0.346
hsa_circ_0014717,Glioblastoma,0.3456
hsa_circ_0000519,Glioblastoma,0.3454
hsa_circ_0001410,Glioblastoma,0.3454
hsa_circ_0000479,Glioblastoma,0.345
hsa_circ_0063411,Glioblastoma,0.345
hsa_circ_0007031,Glioblastoma,0.3448
hsa_circ_0003949,Glioblastoma,0.3446
hsa_circ_0136666,Glioblastoma,0.3445
hsa_circ_0006916,Glioblastoma,0.3432
hsa_circ_0019340,Glioblastoma,0.3425
hsa_circ_0102722,Glioblastoma,0.3424
hsa_circ_0082352,Glioblastoma,0.3422
hsa_circ_0001449,Glioblastoma,0.342
hsa_circ_0007142,Glioblastoma,0.3419
hsa_circ_0044556,Glioblastoma,0.3417
hsa_circ_0032603,Glioblastoma,0.3414
hsa_circ_0001806,Glioblastoma,0.3413
hsa_circ_0017639,Glioblastoma,0.3412
hsa_circ_0085616,Glioblastoma,0.3409
hsa_circ_0005239,Glioblastoma,0.3407
hsa_circ_0001846,Glioblastoma,0.3402
hsa_circ_0058124,Glioblastoma,0.3399
hsa_circ_0006168,Glioblastoma,0.3398
hsa_circ_0005870,Glioblastoma,0.3393
hsa_circ_0000105,Glioblastoma,0.3386
hsa_circ_0002211,Glioblastoma,0.3383
hsa_circ_0000006,Glioblastoma,0.338
hsa_circ_0061012,Glioblastoma,0.3379
hsa_circ_0008309,Glioblastoma,0.3378
hsa_circ_0015756,Glioblastoma,0.3378
hsa_circ_0008792,Glioblastoma,0.3369
hsa_circ_0001610,Glioblastoma,0.3365
hsa_circ_0003204,Glioblastoma,0.336
circ_0001658,Glioblastoma,0.3354
hsa_circ_0000419,Glioblastoma,0.3352
hsa_circ_0057481,Glioblastoma,0.3349
hsa_circ_0003288,Glioblastoma,0.3349
hsa_circ_0013339,Glioblastoma,0.3343
hsa_circ_0006990,Glioblastoma,0.3341
hsa_circ_0035563,Glioblastoma,0.334
hsa_circ_0002360,Glioblastoma,0.3338
hsa_circ_0072568,Glioblastoma,0.3338
hsa_circ_0008039,Glioblastoma,0.3337
hsa_circ_0000096,Glioblastoma,0.3332
hsa_circ_0004018,Glioblastoma,0.3332
hsa_circ_0015962,Glioblastoma,0.3331
hsa_circ_0013958,Glioblastoma,0.333
hsa_circ_0044516,Glioblastoma,0.3324
hsa_circ_0005100,Glioblastoma,0.3322
hsa_circ_0000005,Glioblastoma,0.3316
hsa_circ_0006459,Glioblastoma,0.3313
hsa_circ_0060180,Glioblastoma,0.3311
hsa_circ_0068655,Glioblastoma,0.3307
hsa_circ_0008365,Glioblastoma,0.3303
hsa_circ_0000218,Glioblastoma,0.3302
hsa_circ_0023114,Glioblastoma,0.3301
hsa_circ_0007158,Glioblastoma,0.3301
hsa_circ_0000896,Glioblastoma,0.3301
hsa_circ_0006988,Glioblastoma,0.3294
hsa_circ_0046263,Glioblastoma,0.3292
hsa_circ_0001910,Glioblastoma,0.3292
hsa_circ_0001368,Glioblastoma,0.3286
hsa_circ_0008035,Glioblastoma,0.3286
hsa_circ_0003028,Glioblastoma,0.3284
hsa_circ_0005692,Glioblastoma,0.3284
hsa_circ_0082374,Glioblastoma,0.3282
hsa_circ_0003998,Glioblastoma,0.3281
hsa_circ_0025039,Glioblastoma,0.3277
hsa_circ_0061656,Glioblastoma,0.3276
hsa_circ_0007334,Glioblastoma,0.327
hsa_circ_0068481,Glioblastoma,0.3266
hsa_circ_0000594,Glioblastoma,0.3261
hsa_circ_0000518,Glioblastoma,0.3261
hsa_circ_0086414,Glioblastoma,0.3259
hsa_circ_0003528,Glioblastoma,0.3253
circ_0058124,Glioblastoma,0.3252
hsa_circ_0102272,Glioblastoma,0.325
hsa_circ_0001535,Glioblastoma,0.3239
hsa_circ_0009043,Glioblastoma,0.3239
hsa_circ_0001947,Glioblastoma,0.3237
hsa_circ_0067835,Glioblastoma,0.3237
hsa_circ_0041103,Glioblastoma,0.3228
hsa_circ_0060450,Glioblastoma,0.3218
hsa_circ_0061265,Glioblastoma,0.3214
hsa_circ_0009035,Glioblastoma,0.321
hsa_circ_0078710,Glioblastoma,0.321
hsa_circ_0006404,Glioblastoma,0.3206
hsa_circ_0002346,Glioblastoma,0.3199
hsa_circ_0007294,Glioblastoma,0.3198
hsa_circ_0087378,Glioblastoma,0.3185
hsa_circ_0044235,Glioblastoma,0.3184
hsa_circ_0005243,Glioblastoma,0.3184
hsa_circ_0001481,Glioblastoma,0.3182
hsa_circ_0001724,Glioblastoma,0.3179
circ_0062491,Glioblastoma,0.3176
hsa_circ_0087862,Glioblastoma,0.3172
hsa_circ_0058058,Glioblastoma,0.3167
hsa_circ_0004136,Glioblastoma,0.3166
hsa_circ_0023404,Glioblastoma,0.3153
hsa_circ_0003221,Glioblastoma,0.3151
hsa_circ_0023826,Glioblastoma,0.3151
hsa_circ_0000414,Glioblastoma,0.3146
hsa_circ_0005035,Glioblastoma,0.3141
hsa_circ_0085495,Glioblastoma,0.314
hsa_circ_0004370,Glioblastoma,0.3137
hsa_circ_0075370,Glioblastoma,0.3133
hsa_circ_0079593,Glioblastoma,0.3131
hsa_circ_0000175,Glioblastoma,0.313
hsa_circ_0004104,Glioblastoma,0.3117
hsa_circ_0026134,Glioblastoma,0.3116
hsa_circ_0000268,Glioblastoma,0.311
hsa_circ_0002577,Glioblastoma,0.3102
hsa_circ_0020397,Glioblastoma,0.3097
hsa_circ_0008285,Glioblastoma,0.3095
hsa_circ_0013509,Glioblastoma,0.3091
hsa_circ_0079993,Glioblastoma,0.3087
hsa_circ_0000140,Glioblastoma,0.3077
hsa_circ_0092222,Glioblastoma,0.3076
hsa_circ_0008305,Glioblastoma,0.3069
hsa_circ_0000735,Glioblastoma,0.3067
hsa_circ_0008274,Glioblastoma,0.3065
hsa_circ_0001380,Glioblastoma,0.3063
hsa_circ_0024169,Glioblastoma,0.306
hsa_circ_0005114,Glioblastoma,0.3051
hsa_circ_0001451,Glioblastoma,0.3044
hsa_circ_0134501,Glioblastoma,0.3044
hsa_circ_0026070,Glioblastoma,0.3036
hsa_circ_0005912,Glioblastoma,0.3023
hsa_circ_0005397,Glioblastoma,0.3017
hsa_circ_0023919,Glioblastoma,0.3016
hsa_circ_0001627,Glioblastoma,0.3014
hsa_circ_0005075,Glioblastoma,0.3
hsa_circ_0005728,Glioblastoma,0.2999
hsa_circ_0001105,Glioblastoma,0.2998
hsa_circ_0000732,Glioblastoma,0.2986
hsa_circ_0006719,Glioblastoma,0.2972
hsa_circ_0039411,Glioblastoma,0.2969
hsa_circ_0009024,Glioblastoma,0.2962
hsa_circ_0012342,Glioblastoma,0.2954
hsa_circ_0000677,Glioblastoma,0.2953
hsa_circ_0064574,Glioblastoma,0.2952
hsa_circ_0024108,Glioblastoma,0.2948
hsa_circ_0009128,Glioblastoma,0.2948
hsa_circ_0000936,Glioblastoma,0.2938
hsa_circ_0043469,Glioblastoma,0.2923
hsa_circ_0000517,Glioblastoma,0.2916
hsa_circ_0005795,Glioblastoma,0.2886
hsa_circ_0000043,Glioblastoma,0.2878
hsa_circ_0025033,Glioblastoma,0.2865
hsa_circ_0001599,Glioblastoma,0.2849
hsa_circ_0058514,Glioblastoma,0.2842
hsa_circ_0001681,Glioblastoma,0.2841
hsa_circ_0003645,Glioblastoma,0.283
hsa_circ_0088036,Glioblastoma,0.2823
hsa_circ_0061140,Glioblastoma,0.2822
hsa_circ_0001721,Glioblastoma,0.281
hsa_circ_0043278,Glioblastoma,0.2803
hsa_circ_0039569,Glioblastoma,0.2801
hsa_circ_0072995,Glioblastoma,0.2798
hsa_circ_0007255,Glioblastoma,0.279
hsa_circ_0000977,Glioblastoma,0.2781
hsa_circ_0001073,Glioblastoma,0.2767
hsa_circ_0004662,Glioblastoma,0.2766
hsa_circ_0020093,Glioblastoma,0.2761
hsa_circ_0000520,Glioblastoma,0.2754
hsa_circ_0011385,Glioblastoma,0.2744
hsa_circ_0023028,Glioblastoma,0.2728
hsa_circ_0004214,Glioblastoma,0.2728
hsa_circ_0000190,Glioblastoma,0.2712
circ_0095812,Glioblastoma,0.2681
hsa_circ_0072391,Glioblastoma,0.2655
hsa_circ_0073029,Glioblastoma,0.2655
hsa_circ_0008234,Glioblastoma,0.2619
hsa_circ_0006156,Glioblastoma,0.2614
hsa_circ_0000144,Glioblastoma,0.2612
hsa_circ_0009910,Glioblastoma,0.2607
circ_0067934,Glioblastoma,0.258
hsa_circ_0007534,Glioblastoma,0.2574
hsa_circ_0008450,Glioblastoma,0.2535
hsa_circ_0074854,Glioblastoma,0.2516
hsa_circ_0004771,Glioblastoma,0.2503
hsa_circ_0008433,Glioblastoma,0.2493
hsa_circ_0007444,Glioblastoma,0.2441
hsa_circ_0008732,Glioblastoma,0.2414
hsa_circ_0004846,Glioblastoma,0.2341
hsa_circ_0067301,Glioblastoma,0.2295
hsa_circ_0072088,Glioblastoma,0.2283
hsa_circ_0084927,Glioblastoma,0.2278
hsa_circ_0000567,Glioblastoma,0.2271
hsa_circ_0001859,Glioblastoma,0.2261
hsa_circ_0072309,Glioblastoma,0.2247
hsa_circ_0001821,Glioblastoma,0.2225
hsa_circ_0007874,Glioblastoma,0.2203
hsa_circ_0005273,Glioblastoma,0.2203
hsa_circ_0067934,Glioblastoma,0.2127
hsa_circ_0001313,Glioblastoma,0.2123
hsa_circ_0014130,Glioblastoma,0.2113
hsa_circ_0000284,Glioblastoma,0.2107
hsa_circ_0000285,Glioblastoma,0.2091
hsa_circ_0008717,Glioblastoma,0.2071
hsa_circ_0001649,Glioblastoma,0.2031
hsa_circ_0001445,Glioblastoma,0.1809
hsa_circ_0000376,Glioblastoma,0.1684
hsa_circ_0000615,Glioblastoma,0.1667
hsa_circ_0001946,Glioblastoma,0.1405
hsa_circ_0043603,Hepatoblastoma,0.7307
hsa_circ_0055538,Hepatoblastoma,0.7005
hsa_circ_0040081,Hepatoblastoma,0.6998
hsa_circ_0017515,Hepatoblastoma,0.6877
hsa_circ_0025580,Hepatoblastoma,0.6483
hsa_circ_0033988,Hepatoblastoma,0.6463
hsa_circ_0043534,Hepatoblastoma,0.6458
hsa_circ_0043800,Hepatoblastoma,0.6434
hsa_circ_0057336,Hepatoblastoma,0.6397
hsa_circ_0062163,Hepatoblastoma,0.6294
hsa_circ_0023117,Hepatoblastoma,0.6219
hsa_circ_0079549,Hepatoblastoma,0.6065
hsa_circ_0023110,Hepatoblastoma,0.5869
hsa_circ_0066077,Hepatoblastoma,0.5759
hsa_circ_0041731,Hepatoblastoma,0.5649
hsa_circ_0072359,Hepatoblastoma,0.5626
circ_0000218,Hepatoblastoma,0.5563
hsa_circ_0005931,Hepatoblastoma,0.554
hsa_circ_0067745,Hepatoblastoma,0.5358
hsa_circ_0045510,Hepatoblastoma,0.532
hsa_circ_0005114,Hepatoblastoma,0.5119
hsa_circ_0001105,Hepatoblastoma,0.5105
hsa_circ_0000218,Hepatoblastoma,0.5085
hsa_circ_0005082,Hepatoblastoma,0.5072
hsa_circ_0074026,Hepatoblastoma,0.5064
hsa_circ_0092341,Hepatoblastoma,0.4983
hsa_circ_0000005,Hepatoblastoma,0.4921
hsa_circ_0064557,Hepatoblastoma,0.4908
circ_0001658,Hepatoblastoma,0.4896
circ_0091581,Hepatoblastoma,0.4871
hsa_circ_0091581,Hepatoblastoma,0.487
hsa_circ_0051079,Hepatoblastoma,0.4857
hsa_circ_0007750,Hepatoblastoma,0.4857
circ_0000338,Hepatoblastoma,0.4853
hsa_circ_0000737,Hepatoblastoma,0.4841
hsa_circ_0001953,Hepatoblastoma,0.4837
hsa_circ_0048677,Hepatoblastoma,0.4831
hsa_circ_0048856,Hepatoblastoma,0.4811
hsa_circ_0092374,Hepatoblastoma,0.4803
hsa_circ_0082182,Hepatoblastoma,0.4793
hsa_circ_0006318,Hepatoblastoma,0.4768
hsa_circ_0082688,Hepatoblastoma,0.4767
hsa_circ_0000039,Hepatoblastoma,0.4765
hsa_circ_0002018,Hepatoblastoma,0.4765
hsa_circ_0000792,Hepatoblastoma,0.4763
hsa_circ_0054659,Hepatoblastoma,0.475
hsa_circ_0075930,Hepatoblastoma,0.4736
hsa_circ_0037251,Hepatoblastoma,0.4736
hsa_circ_0009172,Hepatoblastoma,0.4728
hsa_circ_0000523,Hepatoblastoma,0.4727
hsa_circ_0001320,Hepatoblastoma,0.4725
hsa_circ_0035381,Hepatoblastoma,0.4722
hsa_circ_0002138,Hepatoblastoma,0.4719
hsa_circ_0008667,Hepatoblastoma,0.4711
hsa_circ_0008043,Hepatoblastoma,0.471
hsa_circ_0080210,Hepatoblastoma,0.4701
hsa_circ_0001190,Hepatoblastoma,0.4692
hsa_circ_0097271,Hepatoblastoma,0.4691
hsa_circ_0133159,Hepatoblastoma,0.4688
hsa_circ_0020732,Hepatoblastoma,0.4685
hsa_circ_0022812,Hepatoblastoma,0.4685
circ_0115744,Hepatoblastoma,0.4679
hsa_circ_0001326,Hepatoblastoma,0.4677
hsa_circ_0003732,Hepatoblastoma,0.4676
hsa_circ_0127801,Hepatoblastoma,0.4654
hsa_circ_0079929,Hepatoblastoma,0.4651
hsa_circ_0056836,Hepatoblastoma,0.465
hsa_circ_0001264,Hepatoblastoma,0.4648
hsa_circ_0093390,Hepatoblastoma,0.4647
hsa_circ_0000221,Hepatoblastoma,0.4647
hsa_circ_0026388,Hepatoblastoma,0.4645
hsa_circ_0100213,Hepatoblastoma,0.4642
hsa_circ_0043145,Hepatoblastoma,0.4642
hsa_circ_0041124,Hepatoblastoma,0.4639
hsa_circ_0016624,Hepatoblastoma,0.4639
hsa_circ_0109320,Hepatoblastoma,0.4638
hsa_circ_0004870,Hepatoblastoma,0.463
hsa_circ_0061395,Hepatoblastoma,0.463
circ_0061395,Hepatoblastoma,0.4628
hsa_circ_0068669,Hepatoblastoma,0.4627
hsa_circ_0015729,Hepatoblastoma,0.4619
hsa_circ_0057518,Hepatoblastoma,0.4615
hsa_circ_0003586,Hepatoblastoma,0.4611
hsa_circ_0005379,Hepatoblastoma,0.4611
hsa_circ_0064923,Hepatoblastoma,0.4605
hsa_circ_0026372,Hepatoblastoma,0.4602
hsa_circ_0050581,Hepatoblastoma,0.4593
hsa_circ_0058246,Hepatoblastoma,0.4589
hsa_circ_0000658,Hepatoblastoma,0.4582
hsa_circ_006100,Hepatoblastoma,0.4579
hsa_circ_0010882,Hepatoblastoma,0.4576
hsa_circ_0005320,Hepatoblastoma,0.4575
hsa_circ_0004050,Hepatoblastoma,0.4573
hsa_circ_0101692,Hepatoblastoma,0.4568
hsa_circ_0008507,Hepatoblastoma,0.4565
circ_0051398,Hepatoblastoma,0.456
hsa_circ_0072387,Hepatoblastoma,0.456
hsa_circ_0137606,Hepatoblastoma,0.4559
hsa_circ_0000006,Hepatoblastoma,0.4552
hsa_circ_0009112,Hepatoblastoma,0.455
hsa_circ_0119873,Hepatoblastoma,0.455
hsa_circ_0008133,Hepatoblastoma,0.4547
hsa_circ_0008172,Hepatoblastoma,0.4538
hsa_circ_0132246,Hepatoblastoma,0.4536
hsa_circ_0085533,Hepatoblastoma,0.4534
hsa_circ_0091570,Hepatoblastoma,0.4531
hsa_circ_0051172,Hepatoblastoma,0.4524
circ_0018064,Hepatoblastoma,0.4521
hsa_circ_0092315,Hepatoblastoma,0.4521
hsa_circ_0000317,Hepatoblastoma,0.452
hsa_circ_0001085,Hepatoblastoma,0.4517
hsa_circ_0131457,Hepatoblastoma,0.4517
hsa_circ_0008003,Hepatoblastoma,0.4513
hsa_circ_0005015,Hepatoblastoma,0.4511
hsa_circ_0027089,Hepatoblastoma,0.4505
circ_000987,Hepatoblastoma,0.4504
hsa_circ_0032627,Hepatoblastoma,0.4502
hsa_circ_0008615,Hepatoblastoma,0.4485
circ_0000950,Hepatoblastoma,0.4484
hsa_circ_0000426,Hepatoblastoma,0.448
hsa_circ_0005198,Hepatoblastoma,0.4475
hsa_circ_0130438,Hepatoblastoma,0.4471
hsa_circ_0058830,Hepatoblastoma,0.4468
hsa_circ_0001588,Hepatoblastoma,0.4467
hsa_circ_0062960,Hepatoblastoma,0.4465
hsa_circ_0039943,Hepatoblastoma,0.4465
hsa_circ_0067512,Hepatoblastoma,0.4464
hsa_circ_0091894,Hepatoblastoma,0.4461
hsa_circ_0068871,Hepatoblastoma,0.4461
hsa_circ_0076906,Hepatoblastoma,0.4459
hsa_circ_0003141,Hepatoblastoma,0.4457
hsa_circ_0002888,Hepatoblastoma,0.4456
circ_0072088,Hepatoblastoma,0.4453
circ_0007766,Hepatoblastoma,0.4453
hsa_circ_0008558,Hepatoblastoma,0.445
circ_0085289,Hepatoblastoma,0.4449
hsa_circ_0002111,Hepatoblastoma,0.4448
hsa_circ_0081047,Hepatoblastoma,0.4445
hsa_circ_0130810,Hepatoblastoma,0.4445
hsa_circ_0025129,Hepatoblastoma,0.444
hsa_circ_0049658,Hepatoblastoma,0.444
hsa_circ_0021001,Hepatoblastoma,0.4436
hsa_circ_0017526,Hepatoblastoma,0.4436
hsa_circ_0000944,Hepatoblastoma,0.4435
hsa_circ_0001522,Hepatoblastoma,0.4432
circ_0020710,Hepatoblastoma,0.443
hsa_circ_0031288,Hepatoblastoma,0.4428
hsa_circ_0100129,Hepatoblastoma,0.4422
hsa_circ_0009362,Hepatoblastoma,0.4421
hsa_circ_0002185,Hepatoblastoma,0.4417
circ_0058063,Hepatoblastoma,0.4415
hsa_circ_0101432,Hepatoblastoma,0.4415
hsa_circ_0000013,Hepatoblastoma,0.4413
hsa_circ_0058063,Hepatoblastoma,0.4413
circ_0037923,Hepatoblastoma,0.4412
hsa_circ_0087391,Hepatoblastoma,0.4411
hsa_circ_0005603,Hepatoblastoma,0.441
hsa_circ_0008898,Hepatoblastoma,0.4407
circ_0000511,Hepatoblastoma,0.4406
hsa_circ_0084171,Hepatoblastoma,0.4403
hsa_circ_0074169,Hepatoblastoma,0.4401
circ_0040865,Hepatoblastoma,0.44
hsa_circ_0014635,Hepatoblastoma,0.4394
hsa_circ_0000650,Hepatoblastoma,0.4393
hsa_circ_0006220,Hepatoblastoma,0.4393
hsa_circ_0082689,Hepatoblastoma,0.4386
hsa_circ_0005567,Hepatoblastoma,0.4385
hsa_circ_0100891,Hepatoblastoma,0.4385
hsa_circ_0001550,Hepatoblastoma,0.4384
circ_0005576,Hepatoblastoma,0.4382
hsa_circ_0005051,Hepatoblastoma,0.4381
hsa_circ_0002945,Hepatoblastoma,0.438
hsa_circ_0015310,Hepatoblastoma,0.4378
hsa_circ_0131235,Hepatoblastoma,0.4378
hsa_circ_0030777,Hepatoblastoma,0.4375
hsa_circ_0075828,Hepatoblastoma,0.4374
hsa_circ_0088030,Hepatoblastoma,0.4373
hsa_circ_0008934,Hepatoblastoma,0.4372
hsa_circ_0006054,Hepatoblastoma,0.4366
hsa_circ_0077765,Hepatoblastoma,0.4364
hsa_circ_0001875,Hepatoblastoma,0.4362
hsa_circ_0052012,Hepatoblastoma,0.436
hsa_circ_0061274,Hepatoblastoma,0.436
hsa_circ_0043813,Hepatoblastoma,0.4359
hsa_circ_0084021,Hepatoblastoma,0.4359
circ_0001178,Hepatoblastoma,0.4356
hsa_circ_0001386,Hepatoblastoma,0.4356
hsa_circ_0050707,Hepatoblastoma,0.4356
hsa_circ_0009634,Hepatoblastoma,0.4355
hsa_circ_0140388,Hepatoblastoma,0.435
hsa_circ_0079586,Hepatoblastoma,0.435
hsa_circ_0000554,Hepatoblastoma,0.435
hsa_circ_0043632,Hepatoblastoma,0.435
hsa_circ_0001204,Hepatoblastoma,0.4347
hsa_circ_0002570,Hepatoblastoma,0.4344
hsa_circ_0072566,Hepatoblastoma,0.4342
hsa_circ_0011292,Hepatoblastoma,0.4339
hsa_circ_0084663,Hepatoblastoma,0.4334
hsa_circ_0072567,Hepatoblastoma,0.4331
hsa_circ_0075001,Hepatoblastoma,0.4326
circ_0004136,Hepatoblastoma,0.4326
hsa_circ_0001178,Hepatoblastoma,0.4325
hsa_circ_0000254,Hepatoblastoma,0.4321
hsa_circ_0090956,Hepatoblastoma,0.432
hsa_circ_0000657,Hepatoblastoma,0.4318
hsa_circ_0082333,Hepatoblastoma,0.4318
hsa_circ_0074039,Hepatoblastoma,0.4318
circ_0008305,Hepatoblastoma,0.4317
hsa_circ_0092125,Hepatoblastoma,0.4317
hsa_circ_0069718,Hepatoblastoma,0.4315
hsa_circ_0092233,Hepatoblastoma,0.4312
hsa_circ_0049224,Hepatoblastoma,0.4311
hsa_circ_0007694,Hepatoblastoma,0.431
hsa_circ_0032970,Hepatoblastoma,0.4307
hsa_circ_0046366,Hepatoblastoma,0.4305
hsa_circ_0001568,Hepatoblastoma,0.4304
hsa_circ_0110251,Hepatoblastoma,0.4301
hsa_circ_0034912,Hepatoblastoma,0.4301
hsa_circ_0001866,Hepatoblastoma,0.43
hsa_circ_0001438,Hepatoblastoma,0.4299
hsa_circ_0062459,Hepatoblastoma,0.4299
hsa_circ_0058230,Hepatoblastoma,0.4296
circ_001430,Hepatoblastoma,0.4293
hsa_circ_0037515,Hepatoblastoma,0.429
circ_0023642,Hepatoblastoma,0.4289
hsa_circ_0018534,Hepatoblastoma,0.4287
hsa_circ_0046599,Hepatoblastoma,0.4287
hsa_circ_0000374,Hepatoblastoma,0.4285
hsa_circ_0003915,Hepatoblastoma,0.4285
hsa_circ_0003524,Hepatoblastoma,0.4283
hsa_circ_0000264,Hepatoblastoma,0.4282
hsa_circ_0078607,Hepatoblastoma,0.4277
hsa_circ_0034803,Hepatoblastoma,0.4277
hsa_circ_0051443,Hepatoblastoma,0.4276
hsa_circ_009755,Hepatoblastoma,0.4275
hsa_circ_0076704,Hepatoblastoma,0.4273
hsa_circ_0014235,Hepatoblastoma,0.427
hsa_circ_0000092,Hepatoblastoma,0.4267
hsa_circ_0015756,Hepatoblastoma,0.4266
circ_0015756,Hepatoblastoma,0.4264
hsa_circ_0006460,Hepatoblastoma,0.4264
hsa_circ_0132266,Hepatoblastoma,0.4261
hsa_circ_0004379,Hepatoblastoma,0.426
hsa_circ_0081000,Hepatoblastoma,0.426
hsa_circ_0015326,Hepatoblastoma,0.4259
circ_0014130,Hepatoblastoma,0.4259
hsa_circ_0009361,Hepatoblastoma,0.4257
hsa_circ_0023903,Hepatoblastoma,0.4255
hsa_circ_0022935,Hepatoblastoma,0.4253
hsa_circ_0006022,Hepatoblastoma,0.4253
hsa_circ_0001742,Hepatoblastoma,0.4252
hsa_circ_0002632,Hepatoblastoma,0.4249
hsa_circ_0057576,Hepatoblastoma,0.4249
hsa_circ_0040805,Hepatoblastoma,0.4248
hsa_circ_0002130,Hepatoblastoma,0.4246
hsa_circ_0001361,Hepatoblastoma,0.4241
hsa_circ_0010170,Hepatoblastoma,0.4241
hsa_circ_001242,Hepatoblastoma,0.424
hsa_circ_0024097,Hepatoblastoma,0.4239
circ_0014717,Hepatoblastoma,0.4239
hsa_circ_0004712,Hepatoblastoma,0.4239
hsa_circ_0106800,Hepatoblastoma,0.4238
hsa_circ_0007006,Hepatoblastoma,0.4238
hsa_circ_0051470,Hepatoblastoma,0.4237
hsa_circ_0023114,Hepatoblastoma,0.4237
hsa_circ_0102446,Hepatoblastoma,0.4237
hsa_circ_0008602,Hepatoblastoma,0.4234
hsa_circ_0063809,Hepatoblastoma,0.4231
hsa_circ_0068610,Hepatoblastoma,0.4229
hsa_circ_0002485,Hepatoblastoma,0.4228
hsa_circ_0043265,Hepatoblastoma,0.4226
hsa_circ_0000370,Hepatoblastoma,0.4219
circ_0102049,Hepatoblastoma,0.4217
hsa_circ_0057093,Hepatoblastoma,0.4217
hsa_circ_0001346,Hepatoblastoma,0.4216
hsa_circ_0000911,Hepatoblastoma,0.4212
hsa_circ_0032253,Hepatoblastoma,0.4207
hsa_circ_0008975,Hepatoblastoma,0.4207
hsa_circ_0005556,Hepatoblastoma,0.4205
hsa_circ_0006294,Hepatoblastoma,0.4204
hsa_circ_0001038,Hepatoblastoma,0.4203
hsa_circ_0027446,Hepatoblastoma,0.4199
hsa_circ_0055724,Hepatoblastoma,0.4198
hsa_circ_0090049,Hepatoblastoma,0.4196
circ_0039151,Hepatoblastoma,0.4195
hsa_circ_0005406,Hepatoblastoma,0.4191
hsa_circ_0008016,Hepatoblastoma,0.4188
hsa_circ_0101308,Hepatoblastoma,0.4185
hsa_circ_0053277,Hepatoblastoma,0.4183
hsa_circ_0000396,Hepatoblastoma,0.4182
hsa_circ_0046600,Hepatoblastoma,0.4182
hsa_circ_0000885,Hepatoblastoma,0.4181
circ_0001971,Hepatoblastoma,0.4181
hsa_circ_0000073,Hepatoblastoma,0.4179
hsa_circ_0056285,Hepatoblastoma,0.4177
hsa_circ_0079278,Hepatoblastoma,0.4177
hsa_circ_0001017,Hepatoblastoma,0.4173
hsa_circ_0014010,Hepatoblastoma,0.4172
hsa_circ_0070382,Hepatoblastoma,0.4171
hsa_circ_0005529,Hepatoblastoma,0.4169
hsa_circ_0002019,Hepatoblastoma,0.4166
hsa_circ_0009143,Hepatoblastoma,0.4163
hsa_circ_0003221,Hepatoblastoma,0.4163
hsa_circ_0000147,Hepatoblastoma,0.4161
hsa_circ_0004264,Hepatoblastoma,0.4161
